(frames)	1 Max  (°C)
1	260.89
2	260.89
3	259.59
4	260.89
5	259.59
6	259.59
7	264.71
8	256.94
9	259.59
10	256.94
11	262.18
12	259.59
13	260.89
14	258.27
15	262.18
16	262.18
17	263.45
18	259.59
19	259.59
20	260.89
21	259.59
22	260.89
23	260.89
24	260.89
25	262.18
26	260.89
27	263.45
28	258.27
29	263.45
30	263.45
31	260.89
32	263.45
33	260.89
34	260.89
35	258.27
36	260.89
37	256.94
38	262.18
39	263.45
40	260.89
41	262.18
42	258.27
43	260.89
44	260.89
45	262.18
46	260.89
47	260.89
48	259.59
49	258.27
50	262.18
51	262.18
52	260.89
53	259.59
54	263.45
55	262.18
56	263.45
57	259.59
58	260.89
59	259.59
60	258.27
61	260.89
62	262.18
63	260.89
64	260.89
65	259.59
66	259.59
67	259.59
68	259.59
69	263.45
70	263.45
71	260.89
72	259.59
73	264.71
74	256.94
75	262.18
76	260.89
77	258.27
78	260.89
79	259.59
80	260.89
81	262.18
82	263.45
83	260.89
84	260.89
85	260.89
86	263.45
87	259.59
88	260.89
89	259.59
90	256.94
91	263.45
92	262.18
93	262.18
94	260.89
95	263.45
96	265.95
97	260.89
98	262.18
99	260.89
100	259.59
101	259.59
102	262.18
103	259.59
104	264.71
105	262.18
106	263.45
107	260.89
108	259.59
109	262.18
110	262.18
111	258.27
112	259.59
113	259.59
114	260.89
115	259.59
116	262.18
117	262.18
118	260.89
119	262.18
120	263.45
121	260.89
122	259.59
123	262.18
124	259.59
125	265.95
126	265.95
127	262.18
128	260.89
129	260.89
130	260.89
131	259.59
132	260.89
133	262.18
134	259.59
135	259.59
136	260.89
137	264.71
138	262.18
139	262.18
140	259.59
141	269.61
142	311.14
143	312.01
144	307.62
145	312.87
146	315.43
147	314.59
148	316.28
149	319.60
150	319.60
151	319.60
152	323.65
153	326.81
154	328.37
155	334.44
156	338.12
157	340.29
158	347.31
159	345.23
160	352.71
161	354.70
162	354.70
163	357.95
164	364.28
165	363.04
166	367.37
167	367.37
168	372.19
169	372.78
170	376.31
171	378.04
172	378.04
173	385.39
174	385.39
175	387.04
176	391.92
177	394.05
178	394.05
179	397.21
180	401.34
181	402.36
182	407.38
183	408.37
184	408.37
185	412.76
186	415.64
187	417.54
188	418.02
189	419.43
190	424.98
191	426.35
192	429.05
193	426.80
194	429.95
195	431.73
196	434.37
197	432.61
198	438.71
199	438.71
200	442.98
201	446.75
202	446.75
203	448.40
204	449.23
205	452.90
206	451.27
207	456.12
208	457.32
209	455.72
210	461.27
211	459.30
212	458.90
213	460.09
214	463.99
215	465.92
216	465.54
217	467.46
218	467.08
219	467.84
220	469.74
221	472.38
222	471.25
223	471.63
224	473.50
225	473.88
226	475.74
227	479.78
228	479.78
229	482.32
230	480.51
231	484.48
232	483.40
233	487.69
234	485.56
235	488.40
236	490.51
237	492.26
238	491.91
239	492.96
240	496.07
241	495.38
242	497.10
243	500.17
244	499.83
245	502.53
246	502.53
247	504.54
248	504.54
249	506.87
250	509.51
251	511.80
252	511.14
253	512.77
254	514.39
255	520.15
256	518.24
257	521.73
258	522.99
259	528.29
260	531.36
261	531.05
262	531.67
263	535.31
264	538.92
265	541.30
266	543.66
267	549.50
268	547.76
269	550.08
270	552.10
271	552.67
272	550.37
273	553.53
274	551.81
275	552.67
276	554.67
277	555.53
278	557.23
279	561.45
280	559.77
281	561.45
282	564.51
283	565.34
284	566.72
285	569.19
286	568.65
287	571.65
288	573.28
289	574.89
290	574.89
291	576.51
292	578.65
293	580.24
294	580.24
295	582.89
296	583.15
297	585.78
298	584.47
299	587.86
300	588.90
301	592.26
302	592.52
303	595.85
304	593.29
305	596.35
306	596.61
307	596.35
308	601.16
309	602.42
310	601.41
311	605.41
312	606.16
313	608.63
314	607.15
315	611.59
316	612.32
317	616.22
318	615.97
319	619.11
320	618.39
321	622.47
322	623.66
323	621.03
324	623.66
325	627.45
326	627.69
327	631.45
328	633.08
329	634.48
330	635.17
331	636.33
332	638.18
333	640.24
334	642.07
335	640.70
336	643.67
337	643.90
338	650.22
339	646.84
340	649.54
341	650.67
342	650.67
343	654.24
344	653.57
345	657.56
346	660.42
347	660.42
348	661.30
349	664.57
350	665.22
351	666.74
352	668.90
353	670.41
354	669.76
355	671.27
356	676.60
357	674.90
358	677.45
359	677.66
360	677.87
361	681.46
362	681.67
363	682.30
364	685.44
365	686.48
