General information :

File	Capture018.ptw
Frame	854
Total frames	1484
time	15:42:42.177
Interval start	15:42:25.097
Interval end	15:42:54.777
Format	160	128


Timing-graph Data :

(time)	1 Mean  (°C)
15:42:25.097	57.75
15:42:25.118	36.54
15:42:25.137	61.56
15:42:25.158	32.54
15:42:25.177	47.16
15:42:25.198	29.20
15:42:25.218	53.77
15:42:25.237	37.67
15:42:25.258	48.40
15:42:25.277	33.06
15:42:25.298	52.87
15:42:25.317	26.32
15:42:25.338	51.05
15:42:25.358	26.11
15:42:25.378	49.92
15:42:25.398	24.00
15:42:25.417	57.89
15:42:25.438	38.91
15:42:25.457	53.77
15:42:25.478	45.94
15:42:25.497	55.87
15:42:25.518	40.59
15:42:25.538	46.18
15:42:25.557	26.13
15:42:25.578	38.00
15:42:25.597	31.97
15:42:25.618	48.01
15:42:25.637	28.63
15:42:25.658	43.78
15:42:25.677	24.98
15:42:25.698	47.38
15:42:25.718	24.64
15:42:25.737	24.27
15:42:25.758	27.18
15:42:25.777	44.31
15:42:25.798	29.24
15:42:25.817	55.59
15:42:25.838	41.39
15:42:25.858	66.63
15:42:25.878	50.65
15:42:25.898	41.89
15:42:25.917	24.31
15:42:25.938	44.26
15:42:25.957	30.16
15:42:25.978	53.24
15:42:25.997	25.20
15:42:26.018	33.98
15:42:26.038	26.90
15:42:26.057	29.17
15:42:26.078	21.68
15:42:26.097	45.16
15:42:26.118	48.60
15:42:26.137	40.47
15:42:26.158	30.64
15:42:26.177	56.45
15:42:26.198	36.97
15:42:26.218	37.96
15:42:26.237	28.36
15:42:26.258	56.57
15:42:26.277	33.18
15:42:26.298	37.87
15:42:26.317	17.91
15:42:26.338	37.64
15:42:26.358	30.26
15:42:26.378	39.33
15:42:26.398	36.24
15:42:26.417	34.73
15:42:26.438	42.76
15:42:26.457	56.66
15:42:26.478	47.85
15:42:26.497	36.30
15:42:26.518	29.12
15:42:26.538	35.91
15:42:26.557	17.75
15:42:26.578	52.66
15:42:26.597	26.48
15:42:26.618	35.44
15:42:26.637	43.01
15:42:26.658	43.54
15:42:26.677	27.54
15:42:26.698	0.00
15:42:26.718	40.27
15:42:26.737	41.94
15:42:26.758	34.62
15:42:26.777	38.36
15:42:26.798	27.21
15:42:26.817	36.47
15:42:26.838	41.98
15:42:26.858	39.39
15:42:26.878	25.72
15:42:26.898	51.93
15:42:26.917	45.43
15:42:26.938	43.18
15:42:26.957	27.47
15:42:26.978	33.37
15:42:26.997	39.67
15:42:27.018	58.26
15:42:27.038	31.89
15:42:27.057	59.68
15:42:27.078	30.04
15:42:27.097	29.38
15:42:27.118	47.91
15:42:27.137	42.06
15:42:27.158	34.36
15:42:27.177	41.15
15:42:27.198	31.63
15:42:27.218	58.98
15:42:27.237	39.34
15:42:27.258	41.39
15:42:27.277	27.35
15:42:27.298	34.00
15:42:27.317	30.83
15:42:27.338	44.69
15:42:27.358	38.31
15:42:27.378	54.46
15:42:27.398	43.44
15:42:27.417	41.16
15:42:27.438	27.43
15:42:27.457	26.75
15:42:27.478	38.92
15:42:27.497	33.31
15:42:27.518	22.52
15:42:27.538	35.92
15:42:27.557	35.06
15:42:27.578	50.06
15:42:27.597	42.05
15:42:27.618	46.17
15:42:27.637	41.23
15:42:27.658	35.83
15:42:27.677	57.22
15:42:27.698	53.35
15:42:27.718	32.54
15:42:27.737	47.03
15:42:27.758	34.58
15:42:27.777	35.74
15:42:27.798	32.53
15:42:27.817	53.79
15:42:27.838	16.46
15:42:27.858	47.45
15:42:27.878	31.17
15:42:27.898	28.86
15:42:27.917	96.75
15:42:27.938	238.19
15:42:27.957	302.84
15:42:27.978	368.68
15:42:27.997	432.11
15:42:28.018	489.51
15:42:28.038	544.17
15:42:28.057	595.34
15:42:28.078	644.54
15:42:28.097	689.32
15:42:28.118	735.33
15:42:28.137	779.00
15:42:28.158	821.36
15:42:28.177	861.99
15:42:28.198	902.73
15:42:28.218	942.16
15:42:28.237	976.42
15:42:28.258	1014.70
15:42:28.277	1050.62
15:42:28.298	1083.62
15:42:28.317	1117.33
15:42:28.338	1149.54
15:42:28.358	1179.07
15:42:28.378	1211.88
15:42:28.398	1240.40
15:42:28.417	1265.33
15:42:28.438	1296.96
15:42:28.457	1322.88
15:42:28.478	1348.44
15:42:28.497	1368.98
15:42:28.518	1400.77
15:42:28.538	1420.23
15:42:28.557	1449.94
15:42:28.578	1468.57
15:42:28.597	1491.51
15:42:28.618	1510.52
15:42:28.637	1533.72
15:42:28.658	1550.25
15:42:28.677	1573.10
15:42:28.698	1593.79
15:42:28.718	1610.84
15:42:28.737	1632.32
15:42:28.758	1643.64
15:42:28.777	1664.99
15:42:28.798	1679.45
15:42:28.817	1697.72
15:42:28.838	1710.58
15:42:28.858	1727.09
15:42:28.878	1740.00
15:42:28.898	1756.33
