(time)	1 Max  (°C)	1 Mean  (°C)
16:48:04.294	229.50	61.31
16:48:04.314	192.54	89.76
16:48:04.334	229.50	58.34
16:48:04.354	206.62	72.09
16:48:04.375	229.50	95.88
16:48:04.394	218.76	74.59
16:48:04.415	229.50	98.82
16:48:04.434	229.50	58.26
16:48:04.454	239.18	81.38
16:48:04.474	192.54	50.89
16:48:04.494	218.76	77.70
16:48:04.514	218.76	81.13
16:48:04.534	239.18	75.08
16:48:04.555	218.76	69.44
16:48:04.574	229.50	62.65
16:48:04.595	218.76	48.15
16:48:04.614	206.62	53.11
16:48:04.634	218.76	65.00
16:48:04.654	206.62	77.57
16:48:04.674	218.76	56.95
16:48:04.694	229.50	64.85
16:48:04.714	218.76	53.39
16:48:04.735	218.76	69.70
16:48:04.754	218.76	89.67
16:48:04.774	239.18	97.85
16:48:04.794	218.76	72.75
16:48:04.814	192.54	62.61
16:48:04.834	239.18	62.07
16:48:04.854	218.76	65.51
16:48:04.875	218.76	48.24
16:48:04.894	229.50	79.12
16:48:04.915	218.76	67.51
16:48:04.934	206.62	80.56
16:48:04.954	218.76	102.22
16:48:04.974	218.76	89.92
16:48:04.994	239.18	66.26
16:48:05.014	218.76	71.61
16:48:05.034	206.62	66.61
16:48:05.055	206.62	95.73
16:48:05.074	229.50	68.42
16:48:05.095	229.50	70.68
16:48:05.114	218.76	60.18
16:48:05.134	192.54	69.22
16:48:05.154	229.50	51.64
16:48:05.174	229.50	86.51
16:48:05.194	206.62	49.70
16:48:05.214	248.03	71.42
16:48:05.235	206.62	45.95
16:48:05.254	206.62	73.75
16:48:05.274	206.62	65.82
16:48:05.294	239.18	94.26
16:48:05.314	192.54	57.01
16:48:05.334	218.76	82.98
16:48:05.354	206.62	71.50
16:48:05.375	218.76	98.11
16:48:05.394	218.76	82.16
16:48:05.415	218.76	91.91
16:48:05.434	229.50	44.06
16:48:05.454	229.50	81.94
16:48:05.474	229.50	76.57
16:48:05.494	229.50	82.38
16:48:05.514	218.76	56.97
16:48:05.534	218.76	51.71
16:48:05.555	239.18	79.40
16:48:05.574	256.21	90.56
16:48:05.595	218.76	74.83
16:48:05.614	248.03	71.76
16:48:05.634	0.00	0.00
