(time)	1 Max  (°C)
17:14:30.404	318.90
17:14:30.424	318.90
17:14:30.444	318.90
17:14:30.464	315.56
17:14:30.485	308.64
17:14:30.504	315.56
17:14:30.525	322.16
17:14:30.544	322.16
17:14:30.565	322.16
17:14:30.584	312.14
17:14:30.604	315.56
17:14:30.625	312.14
17:14:30.644	308.64
17:14:30.665	315.56
17:14:30.684	325.36
17:14:30.705	315.56
17:14:30.724	312.14
17:14:30.745	315.56
17:14:30.764	312.14
17:14:30.784	318.90
17:14:30.805	322.16
17:14:30.824	315.56
17:14:30.845	328.49
17:14:30.864	312.14
17:14:30.885	322.16
17:14:30.904	315.56
17:14:30.924	315.56
17:14:30.944	308.64
17:14:30.964	318.90
17:14:30.985	312.14
17:14:31.004	308.64
17:14:31.025	315.56
17:14:31.044	318.90
17:14:31.065	312.14
17:14:31.084	318.90
17:14:31.104	315.56
17:14:31.125	318.90
17:14:31.144	322.16
17:14:31.165	318.90
17:14:31.184	315.56
17:14:31.205	322.16
17:14:31.224	308.64
17:14:31.245	318.90
17:14:31.264	315.56
17:14:31.284	331.55
17:14:31.305	312.14
17:14:31.324	318.90
17:14:31.345	315.56
17:14:31.364	318.90
17:14:31.385	312.14
17:14:31.404	312.14
17:14:31.424	315.56
17:14:31.444	312.14
17:14:31.464	312.14
17:14:31.485	318.90
17:14:31.504	315.56
17:14:31.525	318.90
17:14:31.544	312.14
17:14:31.565	312.14
17:14:31.584	305.05
17:14:31.604	318.90
17:14:31.625	315.56
17:14:31.644	312.14
17:14:31.665	322.16
17:14:31.684	312.14
17:14:31.705	322.16
17:14:31.724	315.56
17:14:31.745	312.14
17:14:31.764	328.49
17:14:31.784	322.16
17:14:31.805	328.49
17:14:31.824	315.56
17:14:31.845	315.56
17:14:31.864	312.14
17:14:31.885	315.56
17:14:31.904	312.14
17:14:31.924	325.36
17:14:31.944	315.56
17:14:31.964	325.36
17:14:31.985	312.14
17:14:32.004	308.64
17:14:32.025	308.64
17:14:32.044	315.56
17:14:32.065	315.56
17:14:32.084	318.90
17:14:32.104	308.64
17:14:32.125	312.14
17:14:32.144	308.64
17:14:32.165	315.56
17:14:32.184	315.56
17:14:32.205	318.90
17:14:32.224	308.64
17:14:32.245	328.49
17:14:32.264	315.56
