(time)	1 Mean  (°C)
12:21:25.442	31.21
12:21:25.461	37.89
12:21:25.481	23.78
12:21:25.502	39.13
12:21:25.521	31.73
12:21:25.542	23.33
12:21:25.561	24.87
12:21:25.582	27.98
12:21:25.601	42.46
12:21:25.622	27.50
12:21:25.641	23.75
12:21:25.661	36.26
12:21:25.682	40.63
12:21:25.701	27.25
12:21:25.722	28.35
12:21:25.741	43.56
12:21:25.762	28.56
12:21:25.781	54.42
12:21:25.802	36.15
12:21:25.822	31.78
12:21:25.841	40.49
12:21:25.862	26.40
12:21:25.881	35.75
12:21:25.902	44.22
12:21:25.921	37.77
12:21:25.942	33.19
12:21:25.961	42.54
12:21:25.981	18.34
12:21:26.002	38.02
12:21:26.021	34.32
12:21:26.042	28.96
12:21:26.061	32.10
12:21:26.082	25.32
12:21:26.101	36.32
12:21:26.122	19.23
12:21:26.141	31.26
12:21:26.161	36.47
12:21:26.182	39.07
12:21:26.201	37.30
12:21:26.222	15.88
12:21:26.241	37.90
12:21:26.262	31.94
12:21:26.281	25.25
12:21:26.302	25.19
12:21:26.322	24.20
12:21:26.341	28.73
12:21:26.362	28.73
12:21:26.381	27.46
12:21:26.402	38.17
12:21:26.421	28.96
12:21:26.442	27.74
12:21:26.461	34.84
12:21:26.481	34.72
12:21:26.502	25.69
12:21:26.521	35.96
12:21:26.542	36.26
12:21:26.561	26.68
12:21:26.582	29.69
12:21:26.601	27.73
12:21:26.622	21.88
12:21:26.641	23.84
12:21:26.661	19.95
12:21:26.682	33.37
12:21:26.701	43.52
12:21:26.722	26.43
12:21:26.741	32.27
12:21:26.762	37.95
12:21:26.781	25.18
12:21:26.802	35.08
12:21:26.822	27.35
12:21:26.841	33.07
12:21:26.862	30.97
12:21:26.881	41.43
12:21:26.902	30.87
12:21:26.921	25.54
12:21:26.942	35.00
12:21:26.961	42.42
12:21:26.981	19.87
12:21:27.002	37.06
12:21:27.021	28.91
12:21:27.042	29.42
12:21:27.061	27.03
12:21:27.082	29.01
12:21:27.101	32.35
12:21:27.122	35.65
12:21:27.141	36.93
12:21:27.161	38.52
12:21:27.182	26.61
12:21:27.201	36.00
12:21:27.222	23.90
12:21:27.241	32.32
12:21:27.262	40.79
12:21:27.281	33.10
12:21:27.302	0.00
12:21:27.322	28.45
12:21:27.341	35.66
12:21:27.362	34.87
12:21:27.381	17.75
12:21:27.402	26.71
12:21:27.421	31.78
12:21:27.442	37.27
12:21:27.461	34.40
12:21:27.481	33.56
12:21:27.502	29.10
12:21:27.521	37.53
12:21:27.542	27.42
12:21:27.561	30.46
12:21:27.582	39.30
12:21:27.601	27.43
12:21:27.622	23.67
12:21:27.641	25.30
12:21:27.661	37.31
12:21:27.682	24.06
12:21:27.701	18.18
12:21:27.722	33.65
12:21:27.741	31.43
12:21:27.762	32.03
12:21:27.781	34.25
12:21:27.802	32.20
12:21:27.822	30.64
12:21:27.841	20.70
12:21:27.862	25.24
12:21:27.881	39.53
12:21:27.902	32.72
12:21:27.921	20.36
12:21:27.942	31.69
12:21:27.961	30.29
12:21:27.981	37.72
12:21:28.002	26.01
12:21:28.021	30.43
12:21:28.042	37.99
12:21:28.061	22.96
12:21:28.082	29.05
12:21:28.101	23.56
12:21:28.122	37.65
12:21:28.141	29.72
12:21:28.161	21.09
12:21:28.182	32.55
12:21:28.201	19.93
12:21:28.222	33.22
12:21:28.241	26.31
12:21:28.262	28.68
12:21:28.281	41.95
12:21:28.302	40.43
12:21:28.322	84.68
12:21:28.341	99.06
12:21:28.362	115.84
12:21:28.381	113.65
12:21:28.402	119.13
12:21:28.421	126.12
12:21:28.442	134.33
12:21:28.461	135.15
12:21:28.481	139.38
12:21:28.502	144.18
12:21:28.521	144.84
12:21:28.542	151.43
12:21:28.561	157.41
12:21:28.582	160.87
12:21:28.601	162.03
12:21:28.622	168.64
12:21:28.641	170.11
12:21:28.661	176.06
12:21:28.682	182.52
12:21:28.701	183.18
12:21:28.722	190.00
12:21:28.741	194.44
12:21:28.762	197.11
12:21:28.781	203.16
12:21:28.802	205.95
12:21:28.822	210.34
12:21:28.841	212.92
12:21:28.862	217.67
12:21:28.881	224.04
12:21:28.902	225.83
12:21:28.921	229.82
12:21:28.942	234.62
12:21:28.961	236.81
12:21:28.981	241.65
12:21:29.002	244.47
12:21:29.021	248.44
12:21:29.042	252.29
12:21:29.061	255.79
12:21:29.082	259.49
12:21:29.101	264.19
12:21:29.122	267.08
12:21:29.141	270.90
12:21:29.161	274.22
12:21:29.182	278.10
12:21:29.201	280.43
12:21:29.222	284.43
12:21:29.241	286.98
12:21:29.262	291.30
12:21:29.281	294.45
12:21:29.302	297.91
12:21:29.322	300.77
12:21:29.341	304.01
12:21:29.362	307.23
12:21:29.381	310.07
12:21:29.402	313.76
12:21:29.421	316.29
12:21:29.461	322.65
12:21:29.481	326.00
12:21:29.502	329.12
12:21:29.521	332.07
12:21:29.542	334.85
12:21:29.561	337.78
12:21:29.582	340.81
12:21:29.601	343.24
12:21:29.622	346.77
12:21:29.641	349.30
12:21:29.661	352.42
12:21:29.682	355.37
12:21:29.701	358.40
12:21:29.722	361.66
12:21:29.741	364.13
12:21:29.762	367.97
12:21:29.781	369.07
12:21:29.802	371.86
12:21:29.822	375.18
12:21:29.841	377.52
12:21:29.862	381.09
12:21:29.881	383.23
12:21:29.902	386.18
12:21:29.921	389.24
12:21:29.942	391.88
12:21:29.961	394.04
12:21:29.981	396.85
12:21:30.002	399.89
12:21:30.021	402.01
12:21:30.042	404.92
12:21:30.061	406.82
12:21:30.082	410.28
12:21:30.101	412.18
12:21:30.122	414.91
12:21:30.141	417.25
12:21:30.161	419.63
12:21:30.182	422.73
12:21:30.201	425.37
12:21:30.222	427.46
12:21:30.241	429.77
12:21:30.262	432.36
12:21:30.281	434.99
12:21:30.302	437.36
12:21:30.322	438.96
12:21:30.341	441.56
12:21:30.362	444.48
12:21:30.381	446.31
12:21:30.402	449.00
12:21:30.421	451.36
12:21:30.442	453.46
12:21:30.461	456.46
12:21:30.481	458.62
12:21:30.502	460.72
12:21:30.521	463.83
12:21:30.542	466.10
12:21:30.561	467.71
12:21:30.582	470.22
12:21:30.601	472.49
12:21:30.622	474.47
12:21:30.641	476.96
12:21:30.661	478.74
12:21:30.682	481.47
12:21:30.701	483.64
12:21:30.722	485.47
12:21:30.741	487.67
12:21:30.762	490.13
12:21:30.781	492.82
12:21:30.802	494.67
12:21:30.822	497.36
12:21:30.841	498.98
12:21:30.862	500.74
12:21:30.881	502.87
12:21:30.902	505.15
12:21:30.921	507.14
12:21:30.942	509.62
12:21:30.961	511.81
12:21:30.981	513.66
12:21:31.002	515.57
12:21:31.021	517.75
12:21:31.042	519.43
12:21:31.061	522.16
12:21:31.082	523.66
12:21:31.101	525.74
12:21:31.122	527.58
12:21:31.141	530.02
12:21:31.161	531.94
12:21:31.182	534.43
12:21:31.201	536.16
12:21:31.222	538.22
12:21:31.241	539.99
12:21:31.262	542.57
12:21:31.281	543.65
12:21:31.302	546.08
12:21:31.322	548.44
12:21:31.341	550.02
12:21:31.362	552.13
12:21:31.381	554.07
12:21:31.402	555.97
12:21:31.421	557.79
12:21:31.442	559.78
12:21:31.461	561.78
12:21:31.481	563.48
12:21:31.502	566.00
12:21:31.521	567.71
12:21:31.542	569.17
12:21:31.561	571.46
12:21:31.582	573.21
12:21:31.601	575.07
12:21:31.622	577.16
12:21:31.641	578.71
12:21:31.661	580.50
12:21:31.682	582.23
12:21:31.701	584.25
12:21:31.722	586.27
12:21:31.741	587.68
12:21:31.762	589.42
12:21:31.781	591.99
12:21:31.802	593.43
12:21:31.822	595.01
12:21:31.841	597.05
12:21:31.862	598.52
12:21:31.881	600.87
12:21:31.902	602.09
12:21:31.921	604.38
12:21:31.942	605.95
12:21:31.961	607.87
12:21:31.981	609.11
12:21:32.002	611.71
12:21:32.021	613.31
12:21:32.042	615.60
12:21:32.061	617.00
12:21:32.082	618.62
12:21:32.101	620.26
12:21:32.122	621.97
12:21:32.141	623.72
12:21:32.161	626.03
12:21:32.182	627.53
12:21:32.201	629.21
12:21:32.222	630.94
12:21:32.241	632.59
12:21:32.262	634.59
12:21:32.281	636.03
12:21:32.302	637.74
12:21:32.322	639.93
12:21:32.341	640.69
12:21:32.362	642.79
12:21:32.381	644.59
12:21:32.402	645.98
12:21:32.421	647.86
12:21:32.442	649.62
12:21:32.461	651.07
12:21:32.481	652.64
12:21:32.502	653.94
12:21:32.521	656.56
12:21:32.542	657.56
12:21:32.561	659.74
12:21:32.582	660.87
12:21:32.601	662.27
12:21:32.622	664.30
12:21:32.641	665.76
12:21:32.661	667.53
12:21:32.682	669.31
12:21:32.701	670.90
12:21:32.722	672.11
12:21:32.741	674.16
12:21:32.762	674.76
12:21:32.781	677.28
12:21:32.802	677.90
12:21:32.822	679.89
12:21:32.841	681.16
12:21:32.862	683.27
12:21:32.881	684.54
12:21:32.902	686.07
12:21:32.921	687.27
12:21:32.942	689.23
12:21:32.961	690.60
12:21:32.981	692.65
12:21:33.002	693.06
12:21:33.021	695.23
12:21:33.042	696.71
12:21:33.061	698.02
12:21:33.082	699.07
12:21:33.101	700.98
12:21:33.122	702.27
12:21:33.141	703.44
12:21:33.161	705.00
12:21:33.182	706.36
12:21:33.201	707.57
12:21:33.222	709.18
12:21:33.241	710.63
12:21:33.262	712.62
12:21:33.281	713.11
12:21:33.302	715.01
12:21:33.322	716.11
12:21:33.341	717.70
12:21:33.362	719.29
12:21:33.381	720.74
12:21:33.402	722.26
12:21:33.421	723.53
12:21:33.442	725.22
12:21:33.461	726.13
12:21:33.481	727.27
12:21:33.502	728.82
12:21:33.521	730.08
12:21:33.542	731.56
12:21:33.561	733.07
12:21:33.582	734.06
12:21:33.601	735.68
12:21:33.622	737.52
12:21:33.641	738.22
12:21:33.661	739.81
12:21:33.682	741.59
12:21:33.701	742.60
12:21:33.722	743.78
12:21:33.741	745.02
12:21:33.762	746.84
12:21:33.781	747.96
12:21:33.802	749.43
12:21:33.822	750.83
12:21:33.841	751.60
12:21:33.862	753.56
12:21:33.881	754.54
12:21:33.902	755.71
12:21:33.921	756.84
12:21:33.942	758.19
12:21:33.961	759.24
12:21:33.981	760.65
12:21:34.002	762.00
12:21:34.021	763.13
12:21:34.042	764.64
12:21:34.061	765.37
12:21:34.082	766.57
12:21:34.101	768.17
12:21:34.122	769.24
12:21:34.141	769.99
12:21:34.161	771.80
12:21:34.182	772.91
12:21:34.201	773.59
12:21:34.222	775.27
12:21:34.241	776.50
12:21:34.262	777.10
12:21:34.281	778.90
12:21:34.302	780.06
12:21:34.322	781.10
12:21:34.341	782.06
12:21:34.362	783.44
12:21:34.381	784.78
12:21:34.402	785.43
12:21:34.421	787.38
12:21:34.442	788.04
12:21:34.461	789.50
12:21:34.481	790.40
12:21:34.502	791.98
12:21:34.521	792.32
12:21:34.542	794.12
12:21:34.561	795.08
12:21:34.582	797.21
12:21:34.601	797.73
12:21:34.622	799.14
12:21:34.641	800.13
12:21:34.661	801.80
12:21:34.682	802.64
12:21:34.701	803.40
12:21:34.722	804.57
12:21:34.741	806.15
12:21:34.762	807.07
12:21:34.781	807.86
12:21:34.802	809.26
12:21:34.822	810.09
12:21:34.841	811.44
12:21:34.862	812.63
12:21:34.881	813.57
12:21:34.902	814.84
12:21:34.921	815.64
12:21:34.942	816.63
12:21:34.961	817.32
12:21:34.981	818.99
12:21:35.002	819.18
12:21:35.021	820.45
12:21:35.042	821.44
12:21:35.061	823.11
12:21:35.082	824.31
12:21:35.101	824.93
12:21:35.122	825.43
12:21:35.141	827.10
12:21:35.161	827.96
12:21:35.182	829.53
12:21:35.201	830.43
12:21:35.222	831.44
12:21:35.241	832.14
12:21:35.262	833.91
12:21:35.281	834.25
12:21:35.302	835.49
12:21:35.322	836.53
12:21:35.341	837.34
12:21:35.362	838.96
12:21:35.381	839.13
12:21:35.402	840.79
12:21:35.421	841.26
12:21:35.442	843.08
12:21:35.461	843.82
12:21:35.481	845.25
12:21:35.502	846.42
12:21:35.521	846.98
12:21:35.542	847.73
12:21:35.561	848.76
12:21:35.582	849.83
12:21:35.601	850.62
12:21:35.622	851.58
12:21:35.641	852.09
12:21:35.661	853.86
12:21:35.682	854.47
12:21:35.701	855.90
12:21:35.722	856.64
12:21:35.741	857.77
12:21:35.762	858.35
12:21:35.781	859.75
12:21:35.802	860.56
12:21:35.822	861.47
12:21:35.841	862.47
12:21:35.862	863.32
12:21:35.881	864.18
12:21:35.902	865.07
12:21:35.921	866.58
12:21:35.942	867.79
12:21:35.961	868.55
12:21:35.981	869.01
12:21:36.002	870.74
12:21:36.021	870.86
12:21:36.042	872.14
12:21:36.061	873.28
12:21:36.082	873.79
12:21:36.101	875.14
12:21:36.122	875.82
12:21:36.141	877.37
12:21:36.161	877.83
12:21:36.182	879.47
12:21:36.201	879.84
12:21:36.222	881.44
12:21:36.241	881.49
12:21:36.262	882.59
12:21:36.281	883.35
12:21:36.302	884.65
12:21:36.322	885.34
12:21:36.341	886.81
12:21:36.362	887.88
12:21:36.381	888.70
12:21:36.402	889.50
12:21:36.421	890.44
12:21:36.442	891.82
12:21:36.461	891.96
12:21:36.481	893.59
12:21:36.502	893.36
12:21:36.521	895.37
12:21:36.542	895.48
12:21:36.561	897.65
12:21:36.582	897.57
12:21:36.601	899.08
12:21:36.622	899.38
12:21:36.641	900.37
12:21:36.661	901.30
12:21:36.682	902.01
12:21:36.701	902.60
12:21:36.722	903.65
12:21:36.741	903.83
12:21:36.762	904.99
12:21:36.781	906.30
12:21:36.802	907.01
12:21:36.822	907.96
12:21:36.841	908.46
12:21:36.862	909.65
12:21:36.881	910.44
12:21:36.902	911.46
12:21:36.921	912.10
12:21:36.942	913.78
12:21:36.961	913.67
12:21:36.981	914.64
12:21:37.002	914.93
12:21:37.021	916.09
12:21:37.042	917.60
12:21:37.061	917.96
12:21:37.082	918.59
12:21:37.101	919.72
12:21:37.122	921.25
12:21:37.141	921.66
12:21:37.161	923.10
12:21:37.182	924.16
12:21:37.201	924.95
12:21:37.222	925.55
12:21:37.241	927.29
12:21:37.262	927.28
12:21:37.281	928.76
12:21:37.302	928.98
12:21:37.322	929.68
12:21:37.341	931.11
12:21:37.362	931.53
12:21:37.381	932.72
12:21:37.402	933.52
12:21:37.421	934.96
12:21:37.442	935.05
12:21:37.461	936.13
12:21:37.481	936.37
12:21:37.502	937.56
12:21:37.521	938.33
12:21:37.542	938.84
12:21:37.561	939.36
12:21:37.582	940.55
12:21:37.601	941.37
12:21:37.622	941.78
12:21:37.641	943.14
12:21:37.661	943.35
12:21:37.682	944.18
12:21:37.701	944.48
12:21:37.722	945.61
12:21:37.741	946.25
12:21:37.762	946.95
12:21:37.781	947.61
12:21:37.802	948.72
12:21:37.822	949.34
12:21:37.841	950.14
12:21:37.862	951.12
12:21:37.881	952.02
12:21:37.902	952.86
12:21:37.921	953.17
12:21:37.942	954.37
12:21:37.961	954.86
12:21:37.981	955.62
12:21:38.002	956.17
12:21:38.021	957.25
12:21:38.042	958.03
12:21:38.061	958.63
12:21:38.082	959.09
12:21:38.101	959.84
12:21:38.122	961.05
12:21:38.141	961.33
12:21:38.161	961.85
12:21:38.182	962.74
12:21:38.201	963.38
12:21:38.222	964.11
12:21:38.241	965.02
12:21:38.262	964.64
12:21:38.281	966.32
12:21:38.302	966.32
12:21:38.322	967.99
12:21:38.341	968.43
12:21:38.362	969.36
12:21:38.381	969.40
12:21:38.402	970.74
12:21:38.421	971.22
12:21:38.442	971.89
12:21:38.461	972.20
12:21:38.481	973.29
12:21:38.502	974.56
12:21:38.521	975.71
12:21:38.542	975.99
12:21:38.561	976.81
12:21:38.582	977.49
12:21:38.601	978.98
12:21:38.622	979.38
12:21:38.641	979.65
12:21:38.661	980.67
12:21:38.682	981.17
12:21:38.701	982.44
12:21:38.722	982.97
12:21:38.741	983.70
12:21:38.762	984.46
12:21:38.781	984.84
12:21:38.802	986.13
12:21:38.822	986.69
12:21:38.841	987.74
12:21:38.862	988.05
12:21:38.881	988.85
12:21:38.902	988.94
12:21:38.921	989.94
12:21:38.942	990.61
12:21:38.961	991.40
12:21:38.981	991.93
12:21:39.002	992.82
12:21:39.021	993.55
12:21:39.042	993.91
12:21:39.061	994.58
12:21:39.082	994.84
12:21:39.101	996.14
12:21:39.122	996.16
12:21:39.141	997.60
12:21:39.161	997.92
12:21:39.182	998.94
12:21:39.201	998.42
12:21:39.222	999.67
12:21:39.241	1000.21
12:21:39.262	1001.42
12:21:39.281	1002.07
12:21:39.302	1002.72
12:21:39.322	1002.95
12:21:39.341	1004.00
12:21:39.362	1004.84
12:21:39.381	1005.61
12:21:39.402	1006.34
12:21:39.421	1006.50
12:21:39.442	1007.40
12:21:39.461	1007.67
12:21:39.481	1008.37
12:21:39.502	1009.21
12:21:39.521	1010.17
12:21:39.542	1010.58
12:21:39.561	1011.03
12:21:39.582	1011.93
12:21:39.601	1012.51
12:21:39.622	1012.79
12:21:39.641	1013.27
12:21:39.661	1013.98
12:21:39.682	1014.82
12:21:39.701	1015.46
12:21:39.722	1015.72
12:21:39.741	1016.69
12:21:39.762	1017.36
12:21:39.781	1018.24
12:21:39.802	1018.22
12:21:39.822	1018.92
12:21:39.841	1020.15
12:21:39.862	1020.49
12:21:39.881	1021.18
12:21:39.902	1021.63
12:21:39.921	1023.11
12:21:39.942	1022.83
12:21:39.961	1023.99
12:21:39.981	1024.43
12:21:40.002	1025.78
12:21:40.021	1025.81
12:21:40.042	1026.86
12:21:40.061	1026.90
12:21:40.082	1028.06
12:21:40.101	1028.01
12:21:40.122	1030.15
12:21:40.141	1029.88
12:21:40.161	1031.03
12:21:40.182	1030.96
12:21:40.201	1031.74
12:21:40.222	1032.56
12:21:40.241	1032.84
12:21:40.262	1033.48
12:21:40.281	1034.40
12:21:40.302	1035.13
12:21:40.322	1035.50
12:21:40.341	1036.20
12:21:40.362	1036.46
12:21:40.381	1037.34
12:21:40.402	1037.68
12:21:40.421	1038.61
12:21:40.442	1039.05
12:21:40.461	1039.57
12:21:40.481	1040.51
12:21:40.502	1041.36
12:21:40.521	1041.78
12:21:40.542	1042.92
12:21:40.561	1042.95
12:21:40.582	1043.84
12:21:40.601	1044.24
12:21:40.622	1044.83
12:21:40.641	1045.93
12:21:40.661	1046.85
12:21:40.682	1046.73
12:21:40.701	1048.17
12:21:40.722	1048.27
12:21:40.741	1048.87
12:21:40.762	1049.47
12:21:40.781	1050.46
12:21:40.802	1050.35
12:21:40.822	1051.72
12:21:40.841	1051.86
12:21:40.862	1052.63
12:21:40.881	1052.71
12:21:40.902	1054.69
12:21:40.921	1054.17
12:21:40.942	1055.77
12:21:40.961	1055.37
12:21:40.981	1056.98
12:21:41.002	1056.87
12:21:41.021	1057.48
12:21:41.042	1057.43
12:21:41.061	1059.04
12:21:41.082	1059.08
12:21:41.101	1060.01
12:21:41.122	1060.19
12:21:41.141	1061.46
12:21:41.161	1062.00
12:21:41.182	1062.55
12:21:41.201	1063.34
12:21:41.222	1064.25
12:21:41.241	1065.00
12:21:41.262	1065.63
12:21:41.281	1065.76
12:21:41.302	1066.43
12:21:41.322	1067.07
12:21:41.341	1067.37
12:21:41.362	1067.30
12:21:41.381	1068.37
12:21:41.402	1068.34
12:21:41.421	1069.57
12:21:41.442	1069.37
12:21:41.461	1070.40
12:21:41.481	1070.55
12:21:41.502	1072.00
12:21:41.521	1072.36
12:21:41.542	1072.70
12:21:41.561	1072.55
12:21:41.582	1072.35
12:21:41.601	1072.54
12:21:41.622	1073.01
12:21:41.641	1072.88
12:21:41.661	1073.92
12:21:41.682	1073.77
12:21:41.701	1074.08
12:21:41.722	1074.86
12:21:41.741	1074.96
12:21:41.762	1075.69
12:21:41.781	1075.79
12:21:41.802	1076.39
12:21:41.822	1076.56
12:21:41.841	1076.87
12:21:41.862	1077.66
12:21:41.881	1078.60
12:21:41.902	1078.75
12:21:41.921	1079.45
12:21:41.942	1079.92
12:21:41.961	1080.65
12:21:41.981	1081.33
12:21:42.002	1081.36
12:21:42.021	1082.46
12:21:42.042	1082.58
12:21:42.061	1084.06
12:21:42.082	1084.88
12:21:42.101	1086.22
12:21:42.122	1085.69
12:21:42.141	1087.08
12:21:42.161	1086.82
12:21:42.182	1088.20
12:21:42.201	1088.20
12:21:42.222	1089.17
12:21:42.241	1090.18
12:21:42.262	1090.58
12:21:42.281	1090.72
12:21:42.302	1091.32
12:21:42.322	1092.17
12:21:42.341	1092.52
12:21:42.362	1093.81
12:21:42.381	1093.85
12:21:42.402	1094.88
12:21:42.421	1095.50
12:21:42.442	1096.20
12:21:42.461	1096.43
12:21:42.481	1096.95
12:21:42.502	1097.56
12:21:42.521	1098.46
12:21:42.542	1098.93
12:21:42.561	1099.30
12:21:42.582	1100.29
12:21:42.601	1100.67
12:21:42.622	1101.84
12:21:42.641	1101.21
12:21:42.661	1103.34
12:21:42.682	1103.14
12:21:42.701	1104.17
12:21:42.722	1104.19
12:21:42.741	1105.12
12:21:42.762	1104.94
12:21:42.781	1106.26
12:21:42.802	1106.12
12:21:42.822	1107.14
12:21:42.841	1107.13
12:21:42.862	1108.04
12:21:42.881	1108.10
12:21:42.902	1108.58
12:21:42.921	1108.90
12:21:42.942	1109.47
12:21:42.961	1110.46
12:21:42.981	1111.14
12:21:43.002	1111.10
12:21:43.021	1111.67
12:21:43.042	1112.15
12:21:43.061	1112.82
12:21:43.082	1113.11
12:21:43.101	1114.16
12:21:43.122	1114.19
12:21:43.141	1115.10
12:21:43.161	1115.17
12:21:43.182	1116.29
12:21:43.201	1115.41
12:21:43.222	1116.97
12:21:43.241	1116.62
12:21:43.262	1118.29
12:21:43.281	1117.58
12:21:43.302	1118.77
12:21:43.322	1118.90
12:21:43.341	1120.66
12:21:43.362	1120.43
12:21:43.381	1121.11
12:21:43.402	1120.88
12:21:43.421	1122.55
12:21:43.442	1122.53
12:21:43.461	1123.51
12:21:43.481	1124.07
12:21:43.502	1125.05
12:21:43.521	1125.89
