Trigger number [#]	Date [yyyy-mm-dd]	Time [hh:mm:ss.ms]
28924	2021-06-10	11:21:59.029
28925	2021-06-10	11:23:59.030
28926	2021-06-10	11:25:59.021
28927	2021-06-10	11:44:11.179
28928	2021-06-10	11:46:11.180
28929	2021-06-10	11:48:11.171
28930	2021-06-10	11:50:11.162
28934	2021-06-10	13:48:06.726
28935	2021-06-10	13:50:06.727
28936	2021-06-10	13:52:06.718
28937	2021-06-10	13:54:06.709
28938	2021-06-10	14:12:59.957
28939	2021-06-10	14:14:59.958
28940	2021-06-10	14:16:59.949
28941	2021-06-10	14:18:59.940
28942	2021-06-10	14:38:16.589
28943	2021-06-10	14:40:16.590
28944	2021-06-10	14:42:16.581
28945	2021-06-10	14:44:16.572
28946	2021-06-10	14:53:34.896
28947	2021-06-10	14:55:34.897
28948	2021-06-10	14:57:34.888
28949	2021-06-10	14:59:34.879
28950	2021-06-10	15:07:41.182
