Name (PREF Unit):|TargetCalTempDiffCorr (degC)|
Timestamp|Date/Time|Value
6972092373473196680|2021-06-10 11:19:14.930000|-0.224976
6972092377768163976|2021-06-10 11:19:15.930000|-0.224579
6972092382063131272|2021-06-10 11:19:16.930000|-0.2229
6972092386358098568|2021-06-10 11:19:17.930000|-0.224304
6972092390653065864|2021-06-10 11:19:18.930000|-0.221558
6972092394948033160|2021-06-10 11:19:19.930000|-0.220825
6972092399243000456|2021-06-10 11:19:20.930000|-0.220245
6972092403537967752|2021-06-10 11:19:21.930000|-0.221588
6972092407832935048|2021-06-10 11:19:22.930000|-0.2211
6972092412127902344|2021-06-10 11:19:23.930000|-0.220947
6972092416422869640|2021-06-10 11:19:24.930000|-0.222534
6972092420717836936|2021-06-10 11:19:25.930000|-0.222504
6972092425012804232|2021-06-10 11:19:26.930000|-0.22699
6972092429307771528|2021-06-10 11:19:27.930000|-0.222351
6972092433602738824|2021-06-10 11:19:28.930000|-0.218018
6972092437897706120|2021-06-10 11:19:29.930000|-0.217773
6972092442192673416|2021-06-10 11:19:30.930000|-0.225372
6972092446487640712|2021-06-10 11:19:31.930000|-0.220551
6972092450782608008|2021-06-10 11:19:32.930000|-0.224945
6972092455077575304|2021-06-10 11:19:33.930000|-0.218201
6972092459372542600|2021-06-10 11:19:34.930000|-0.223267
6972092463667509896|2021-06-10 11:19:35.930000|-0.219513
6972092467962477192|2021-06-10 11:19:36.930000|-0.22287
6972092472257444488|2021-06-10 11:19:37.930000|-0.220703
6972092476552411784|2021-06-10 11:19:38.930000|-0.221283
6972092480847379080|2021-06-10 11:19:39.930000|-0.218872
6972092485142346376|2021-06-10 11:19:40.930000|-0.221863
6972092489437313672|2021-06-10 11:19:41.930000|-0.21933
6972092493732280968|2021-06-10 11:19:42.930000|-0.219513
6972092498027248264|2021-06-10 11:19:43.930000|-0.219299
6972092502322215560|2021-06-10 11:19:44.930000|-0.219604
6972092506617182856|2021-06-10 11:19:45.930000|-0.217255
6972092510912150152|2021-06-10 11:19:46.930000|-0.219635
6972092515207117448|2021-06-10 11:19:47.930000|-0.217682
6972092519502084744|2021-06-10 11:19:48.930000|-0.218475
6972092523797052040|2021-06-10 11:19:49.930000|-0.218903
6972092528092019336|2021-06-10 11:19:50.930000|-0.21698
6972092532386986632|2021-06-10 11:19:51.930000|-0.220764
6972092536681953928|2021-06-10 11:19:52.930000|-0.214539
6972092540976921224|2021-06-10 11:19:53.930000|-0.215973
6972092545271888520|2021-06-10 11:19:54.930000|-0.216858
6972092549566855816|2021-06-10 11:19:55.930000|-0.21759
6972092553861823112|2021-06-10 11:19:56.930000|-0.21933
6972092558156790408|2021-06-10 11:19:57.930000|-0.217194
6972092562451757704|2021-06-10 11:19:58.930000|-0.216003
6972092566746725000|2021-06-10 11:19:59.930000|-0.215118
6972092571041692296|2021-06-10 11:20:00.930000|-0.214508
6972092575336659592|2021-06-10 11:20:01.930000|-0.211853
6972092579631626888|2021-06-10 11:20:02.930000|-0.216492
6972092583926594184|2021-06-10 11:20:03.930000|-0.211975
6972092588221561480|2021-06-10 11:20:04.930000|-0.222198
6972092592516528776|2021-06-10 11:20:05.930000|-0.208435
6972092596811496072|2021-06-10 11:20:06.930000|-0.219299
6972092601106463368|2021-06-10 11:20:07.930000|-0.215179
6972092605401430664|2021-06-10 11:20:08.930000|-0.2146
6972092609696397960|2021-06-10 11:20:09.930000|-0.211426
6972092613991365256|2021-06-10 11:20:10.930000|-0.2117
6972092618286332552|2021-06-10 11:20:11.930000|-0.211121
6972092622581299848|2021-06-10 11:20:12.930000|-0.21228
6972092626876267144|2021-06-10 11:20:13.930000|-0.214081
6972092631171234440|2021-06-10 11:20:14.930000|-0.215454
6972092635466201736|2021-06-10 11:20:15.930000|-0.212524
6972092639761169032|2021-06-10 11:20:16.930000|-0.21759
6972092644056136328|2021-06-10 11:20:17.930000|-0.211914
6972092648351103624|2021-06-10 11:20:18.930000|-0.229431
6972092652646070920|2021-06-10 11:20:19.930000|-0.229187
6972092656941038216|2021-06-10 11:20:20.930000|-0.214478
6972092661236005512|2021-06-10 11:20:21.930000|-0.216644
6972092665530972808|2021-06-10 11:20:22.930000|-0.215881
6972092669825940104|2021-06-10 11:20:23.930000|-0.216949
6972092674120907400|2021-06-10 11:20:24.930000|-0.215668
6972092678415874696|2021-06-10 11:20:25.930000|-0.217072
6972092682710841992|2021-06-10 11:20:26.930000|-0.214447
6972092687005809288|2021-06-10 11:20:27.930000|-0.214905
6972092691300776584|2021-06-10 11:20:28.930000|-0.215607
6972092695595743880|2021-06-10 11:20:29.930000|-0.211914
6972092699890711176|2021-06-10 11:20:30.930000|-0.213959
6972092704185678472|2021-06-10 11:20:31.930000|-0.216278
6972092708480645768|2021-06-10 11:20:32.930000|-0.21106
6972092712775613064|2021-06-10 11:20:33.930000|-0.210907
6972092717070580360|2021-06-10 11:20:34.930000|-0.214813
6972092721365547656|2021-06-10 11:20:35.930000|-0.210938
6972092725660514952|2021-06-10 11:20:36.930000|-0.207794
6972092729955482248|2021-06-10 11:20:37.930000|-0.209717
6972092734250449544|2021-06-10 11:20:38.930000|-0.211395
6972092738545416840|2021-06-10 11:20:39.930000|-0.213501
6972092742840384136|2021-06-10 11:20:40.930000|-0.216644
6972092747135351432|2021-06-10 11:20:41.930000|-0.210114
6972092751430318728|2021-06-10 11:20:42.930000|-0.212006
6972092755725286024|2021-06-10 11:20:43.930000|-0.211334
6972092760020253320|2021-06-10 11:20:44.930000|-0.211395
6972092764315220616|2021-06-10 11:20:45.930000|-0.215057
6972092768610187912|2021-06-10 11:20:46.930000|-0.213257
6972092772905155208|2021-06-10 11:20:47.930000|-0.211121
6972092777200122504|2021-06-10 11:20:48.930000|-0.213226
6972092781495089800|2021-06-10 11:20:49.930000|-0.211853
6972092785790057096|2021-06-10 11:20:50.930000|-0.211517
6972092790085024392|2021-06-10 11:20:51.930000|-0.212616
6972092794379991688|2021-06-10 11:20:52.930000|-0.214447
6972092798674958984|2021-06-10 11:20:53.930000|-0.212494
6972092802969926280|2021-06-10 11:20:54.930000|-0.213501
6972092807264893576|2021-06-10 11:20:55.930000|-0.215057
6972092811559860872|2021-06-10 11:20:56.930000|-0.213165
6972092815854828168|2021-06-10 11:20:57.930000|-0.213837
6972092820149795464|2021-06-10 11:20:58.930000|-0.214935
6972092824444762760|2021-06-10 11:20:59.930000|-0.214905
6972092828739730056|2021-06-10 11:21:00.930000|-0.21286
6972092833034697352|2021-06-10 11:21:01.930000|-0.213898
6972092837329664648|2021-06-10 11:21:02.930000|-0.213562
6972092841624631944|2021-06-10 11:21:03.930000|-0.212097
