Name (PREF Unit):|TargetCalTempDiffCorr (degC)|
Timestamp|Date/Time|Value
6972176743810759304|2021-06-10 16:46:38.930000|-0.176086
6972176748105726600|2021-06-10 16:46:39.930000|-0.177399
6972176752400693896|2021-06-10 16:46:40.930000|-0.177277
6972176756695661192|2021-06-10 16:46:41.930000|-0.178558
6972176760990628488|2021-06-10 16:46:42.930000|-0.17627
6972176765285595784|2021-06-10 16:46:43.930000|-0.177094
6972176769580563080|2021-06-10 16:46:44.930000|-0.17807
6972176773875530376|2021-06-10 16:46:45.930000|-0.177338
6972176778170497672|2021-06-10 16:46:46.930000|-0.177307
6972176782465464968|2021-06-10 16:46:47.930000|-0.178894
6972176786760432264|2021-06-10 16:46:48.930000|-0.17865
6972176791055399560|2021-06-10 16:46:49.930000|-0.178314
6972176795350366856|2021-06-10 16:46:50.930000|-0.177734
6972176799645334152|2021-06-10 16:46:51.930000|-0.178345
6972176803940301448|2021-06-10 16:46:52.930000|-0.178314
6972176808235268744|2021-06-10 16:46:53.930000|-0.178833
6972176812530236040|2021-06-10 16:46:54.930000|-0.177277
6972176816825203336|2021-06-10 16:46:55.930000|-0.175964
6972176821120170632|2021-06-10 16:46:56.930000|-0.176453
6972176825415137928|2021-06-10 16:46:57.930000|-0.177643
6972176829710105224|2021-06-10 16:46:58.930000|-0.178192
6972176834005072520|2021-06-10 16:46:59.930000|-0.176544
6972176838300039816|2021-06-10 16:47:00.930000|-0.176422
6972176842595007112|2021-06-10 16:47:01.930000|-0.176849
6972176846889974408|2021-06-10 16:47:02.930000|-0.175232
6972176851184941704|2021-06-10 16:47:03.930000|-0.176941
6972176855479909000|2021-06-10 16:47:04.930000|-0.175995
6972176859774876296|2021-06-10 16:47:05.930000|-0.1763
6972176864069843592|2021-06-10 16:47:06.930000|-0.175659
6972176868364810888|2021-06-10 16:47:07.930000|-0.176025
6972176872659778184|2021-06-10 16:47:08.930000|-0.176605
6972176876954745480|2021-06-10 16:47:09.930000|-0.177826
6972176881249712776|2021-06-10 16:47:10.930000|-0.176025
6972176885544680072|2021-06-10 16:47:11.930000|-0.177643
6972176889839647368|2021-06-10 16:47:12.930000|-0.176971
6972176894134614664|2021-06-10 16:47:13.930000|-0.178284
6972176898429581960|2021-06-10 16:47:14.930000|-0.178009
6972176902724549256|2021-06-10 16:47:15.930000|-0.1763
6972176907019516552|2021-06-10 16:47:16.930000|-0.170441
6972176911314483848|2021-06-10 16:47:17.930000|-0.144257
6972176915609451144|2021-06-10 16:47:18.930000|-0.0869141
6972176919904418440|2021-06-10 16:47:19.930000|-0.015564
6972176924199385736|2021-06-10 16:47:20.930000|0.0518494
6972176928494353032|2021-06-10 16:47:21.930000|0.110565
6972176932789320328|2021-06-10 16:47:22.930000|0.159241
6972176937084287624|2021-06-10 16:47:23.930000|0.198608
6972176941379254920|2021-06-10 16:47:24.930000|0.232117
6972176945674222216|2021-06-10 16:47:25.930000|0.256775
6972176949969189512|2021-06-10 16:47:26.930000|0.278229
6972176954264156808|2021-06-10 16:47:27.930000|0.293732
6972176958559124104|2021-06-10 16:47:28.930000|0.306641
6972176962854091400|2021-06-10 16:47:29.930000|0.318329
6972176967149058696|2021-06-10 16:47:30.930000|0.327911
6972176971444025992|2021-06-10 16:47:31.930000|0.336426
6972176975738993288|2021-06-10 16:47:32.930000|0.342834
6972176980033960584|2021-06-10 16:47:33.930000|0.345825
6972176984328927880|2021-06-10 16:47:34.930000|0.352325
6972176988623895176|2021-06-10 16:47:35.930000|0.357819
6972176992918862472|2021-06-10 16:47:36.930000|0.360077
6972176997213829768|2021-06-10 16:47:37.930000|0.362152
6972177001508797064|2021-06-10 16:47:38.930000|0.365326
6972177005803764360|2021-06-10 16:47:39.930000|0.368835
6972177010098731656|2021-06-10 16:47:40.930000|0.370911
6972177014393698952|2021-06-10 16:47:41.930000|0.373352
6972177018688666248|2021-06-10 16:47:42.930000|0.375092
